Plan Name,Advisor,Branch Location,Rep,Status,Implementation Contact,2024/2025 Work,Case Notes,"Conversion, TPA Change of Record or Startup, Solo",Assets,Flow,Participants,Verfied Assets/Parts,5 bps Y or N,First Billed Date,Admin Assigned,Installation Payment Date,Installation payment,Provider,Document,Projected Installation Payment,Ongoing 5 bps,Total 1 Yr RK,Annual Admin (Base Fee),Audit,New Comparability,Participant Fee,Additional bps built in,Participant Fee Total,Total 1st Yr TPA,2nd Year TPA,Hard Dollar w/o Rev Share
"Drywall Interiors, LP ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,"$1,144,651 ",$0 ,21,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$572 ,$572 ,$0 ,,,$55 ,,"$1,155 ","$1,441 ","$1,727 ","$1,155 "
Edge Construction Specialties,Samantha Jenkins,IMA,Dean,,,2023,,Conversion,"$4,242,176 ",$0 ,58,SB 90,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,"$2,450 ",,,$48 ,,"$2,784 ","$5,234 ","$5,234 ","$5,234 "
"Ensley Benitez Law, PC ",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,$0 ,$0 ,0,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,$0 ,,,$55 ,,$0 ,$0 ,$0 ,$0 
"Everest Group, Inc.",Steve Heussner,TEXO - MEP - 3(16) - ORPHAN,3(16),,,,,Active,$0 ,$0 ,0,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,$0 ,,,$55 ,,$0 ,$0 ,$0 ,$0 
Family Food Town Inc dba Family Food Town,Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,"$27,743 ",$0 ,6,,n,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,"$1,200 ",,,$15 ,,$90 ,"$1,290 ","$1,290 ","$1,290 "
FJ Law,Allison Wright,IMA,Dean,,,2024,,Startup,"$1,012,684 ",$0 ,4,Y,n,2024,Kim,,n,T Rowe Price,$0 ,"$2,025 ",$0 ,"$2,025 ","$2,450 ",,,$48 ,,$192 ,"$4,667 ","$2,642 ","$2,642 "
"G&G Merc, Inc. DBA Garden Valley Market",Shawn Oram,AFS - MEP Plan,,Active,1200,15,0,0,"$69,063 ",$0 ,20,,n,2024,Crissy,,n,Transamerica,$0 ,$0 ,$0 ,$0 ,"$1,200 ",,,$15 ,,$300 ,"$1,500 ","$1,500 ","$1,500 "
"G.P. Cooper Industries, Inc. dba Cooper General Contractors",Steve Heussner,TEXO - MEP - 3(16),3(16),,,,,Active,"$1,593,806 ",$0 ,23,,y,2024,Crissy,,n,Transamerica,$0 ,$0 ,$797 ,$797 ,$0 ,,,$55 ,,"$1,265 ","$1,663 ","$2,062 ","$1,265 "
Gastro Arkansas,Sarah Salita,SW ERP,Dean,,Kim,,3(16) Bundled ,,$0 ,"$100,000 ",8,,n,2025,Kim,,n,Transamerica,"$1,400 ",$200 ,$0 ,"$1,600 ",,,,$25 ,,$200 ,"$1,800 ",$200 ,$200 
Glacier Construction,Samantha Jenkins,IMA,Dean,,,2023,,Conversion,"$2,199,232 ",$0 ,41,SB 106,n,2023,Kim,,n,T Rowe Price,$0 ,$0 ,$0 ,$0 ,2450,,,$48 ,,"$1,968 ","$4,418 ","$4,418 ","$4,418 "
