Total Fees by Contract,,,,,,,,,
"Executive Retirement Plans, LLC TPA(508420) ",,,,,,,,,
10/1/2023 - 9/30/2025,,,,,,,,,
,,,,,,,,,
Contract ID,Sub ID,Company Name,Fee Type,Total,,,,,
812984,00000,"Country Life Natural Foods, Inc.",Transaction Fees,300.00,,,,,
812984,00000,"Country Life Natural Foods, Inc.",Service Fee Income,522.99,,,,,
812984,00000,"Country Life Natural Foods, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,822.99,,,,,
,,,,,,,,,
813002,00000,RCD Demolition,Transaction Fees,650.00,,,,,
813002,00000,RCD Demolition,Service Fee Income,406.60,,,,,
813002,00000,RCD Demolition,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,056.60",,,,,
,,,,,,,,,
813016,00000,"Kevin C Cooper, DDS PC",Transaction Fees,450.00,,,,,
813016,00000,"Kevin C Cooper, DDS PC",Service Fee Income,"1,809.68",,,,,
813016,00000,"Kevin C Cooper, DDS PC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"2,259.68",,,,,
,,,,,,,,,
813045,00000,"Mitchell Graphics, Inc.",Transaction Fees,200.00,,,,,
813045,00000,"Mitchell Graphics, Inc.",Service Fee Income,"5,319.11",,,,,
813045,00000,"Mitchell Graphics, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"5,519.11",,,,,
,,,,,,,,,
813052,00000,"Glennwood Custom Builders, Inc",Transaction Fees,75.00,,,,,
813052,00000,"Glennwood Custom Builders, Inc",Service Fee Income,207.47,,,,,
813052,00000,"Glennwood Custom Builders, Inc",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,282.47,,,,,
,,,,,,,,,
813086,00000,Faithful Companion Memorials Inc,Transaction Fees,"9,321.05",,,,,
813086,00000,Faithful Companion Memorials Inc,Service Fee Income,"6,619.08",,,,,
813086,00000,Faithful Companion Memorials Inc,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"15,940.13",,,,,
,,,,,,,,,
813087,00000,"DevelopMeant Therapy Center, LLC",Transaction Fees,0.00,,,,,
813087,00000,"DevelopMeant Therapy Center, LLC",Service Fee Income,86.67,,,,,
813087,00000,"DevelopMeant Therapy Center, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,86.67,,,,,
,,,,,,,,,
813118,00000,"Justin J. Hollander, D.O., P.C.",Transaction Fees,75.00,,,,,
813118,00000,"Justin J. Hollander, D.O., P.C.",Service Fee Income,"3,194.95",,,,,
813118,00000,"Justin J. Hollander, D.O., P.C.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"3,269.95",,,,,
,,,,,,,,,
813177,00000,"TruNorth Landscaping, LLC",Transaction Fees,0.00,,,,,
813177,00000,"TruNorth Landscaping, LLC",Service Fee Income,"1,356.40",,,,,
813177,00000,"TruNorth Landscaping, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"1,356.40",,,,,
,,,,,,,,,
813180,00000,"Boggiano & Associates, LLC",Transaction Fees,0.00,,,,,
813180,00000,"Boggiano & Associates, LLC",Service Fee Income,27.26,,,,,
813180,00000,"Boggiano & Associates, LLC",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,27.26,,,,,
,,,,,,,,,
813188,00000,Cottage Company Interiors,Transaction Fees,150.00,,,,,
813188,00000,Cottage Company Interiors,Service Fee Income,451.43,,,,,
813188,00000,Cottage Company Interiors,Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,601.43,,,,,
,,,,,,,,,
813189,00000,"Leppink's, Inc.",Transaction Fees,"1,300.00",,,,,
813189,00000,"Leppink's, Inc.",Service Fee Income,"14,631.27",,,,,
813189,00000,"Leppink's, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"15,931.27",,,,,
,,,,,,,,,
813272,00000,"QT9 Software, Inc",Transaction Fees,125.00,,,,,
813272,00000,"QT9 Software, Inc",Service Fee Income,0.00,,,,,
813272,00000,"QT9 Software, Inc",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,125.00,,,,,
,,,,,,,,,
932293,00001,"TEXO ABC/AGC, Inc.",Transaction Fees,0.00,,,,,
932293,00001,"TEXO ABC/AGC, Inc.",Service Fee Income,0.08,,,,,
932293,00001,"TEXO ABC/AGC, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,0.08,,,,,
,,,,,,,,,
932293,00002,"Azteca Enterprises, Inc.",Transaction Fees,"16,960.22",,,,,
932293,00002,"Azteca Enterprises, Inc.",Service Fee Income,"1,267.85",,,,,
932293,00002,"Azteca Enterprises, Inc.",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,"18,228.07",,,,,
,,,,,,,,,
932293,00003,"Drywall Interiors, LP",Transaction Fees,659.76,,,,,
932293,00003,"Drywall Interiors, LP",Service Fee Income,337.80,,,,,
932293,00003,"Drywall Interiors, LP",Special Incentive,0.00,,,,,
,,Subtotal for ALL Fees,,997.56,,,,,
,,,,,,,,,
932293,00004,"Griffith Davison, P.C.",Transaction Fees,"1,325.00",,,,,
932293,00004,"Griffith Davison, P.C.",Service Fee Income,"2,007.33",,,,,
